[EXPERIMENTAL RISK] experimental authority accepts the recorded camera/body candidate although formal acceptance gates did not pass
[EXPERIMENTAL RISK] experimental authority accepts the recorded three-axis dynamic candidates although the formal real-vehicle set remains unresolved
[EXPERIMENTAL RISK] experimental authority disables the detector-confidence threshold
[EXPERIMENTAL AUTO] trace=calibration_logs/experimental_auto_20260814_230123.jsonl
EXPERIMENTAL AUTO READY
vision=/data/Zhouyuheng_workspace/tracking_depth/depth-estimation-dev/output/statistical_r_no_nis_20260814_225314/pipeline_results.jsonl
[EXPERIMENTAL AUTO] Starting guarded camera/MPC tracking session; model=dual yaw=LOWER_LOCAL_HOLD; no joystick/manual mode exists
[NET] FineSUB transport connected
[EXPERIMENTAL AUTO] WAIT: telemetry stale, disarmed session not confirmed, waiting for confirmed fresh vision
[EXPERIMENTAL AUTO] WAIT: waiting for confirmed fresh vision
[EXPERIMENTAL AUTO] ARMING: WAIT ARMED-ZERO ACK
[EXPERIMENTAL AUTO] ACTIVE: WAIT NEW VISION
[EXPERIMENTAL AUTO] ACTIVE frame=14293 cmd=(-0.018,-0.015,+0.025) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14296 cmd=(-0.018,-0.006,+0.022) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14299 cmd=(-0.016,-0.000,+0.021) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14302 cmd=(-0.017,-0.003,+0.018) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14305 cmd=(-0.020,-0.000,+0.018) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14308 cmd=(-0.024,+0.022,+0.018) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14311 cmd=(-0.026,+0.005,+0.017) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14314 cmd=(-0.026,+0.019,+0.017) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14317 cmd=(-0.026,+0.048,+0.017) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14320 cmd=(-0.023,+0.023,+0.017) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14323 cmd=(-0.020,+0.021,+0.017) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14326 cmd=(-0.019,+0.026,+0.014) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14329 cmd=(-0.025,+0.031,+0.014) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14332 cmd=(-0.032,+0.037,+0.014) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14335 cmd=(-0.040,+0.045,+0.013) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14338 cmd=(-0.047,+0.054,+0.010) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14341 cmd=(-0.047,+0.056,+0.009) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14344 cmd=(-0.042,+0.057,+0.007) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14347 cmd=(-0.034,+0.063,+0.006) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14350 cmd=(-0.025,+0.065,+0.003) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14353 cmd=(-0.017,+0.070,-0.003) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14356 cmd=(-0.010,+0.075,-0.010) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14359 cmd=(-0.005,+0.053,-0.018) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14365 cmd=(+0.003,+0.025,-0.028) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14368 cmd=(+0.012,+0.006,-0.037) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14371 cmd=(+0.017,-0.005,-0.043) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14377 cmd=(+0.022,-0.035,-0.033) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14380 cmd=(+0.033,-0.022,-0.014) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14383 cmd=(+0.037,-0.030,+0.002) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14389 cmd=(+0.044,-0.038,+0.017) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14392 cmd=(+0.057,-0.055,+0.027) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14395 cmd=(+0.072,-0.059,+0.034) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14398 cmd=(+0.072,-0.038,+0.039) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14401 cmd=(+0.060,-0.028,+0.040) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14404 cmd=(+0.046,-0.021,+0.039) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14407 cmd=(+0.032,-0.015,+0.037) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14410 cmd=(+0.014,-0.009,+0.035) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14413 cmd=(-0.005,-0.006,+0.033) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14416 cmd=(-0.019,+0.000,+0.031) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14419 cmd=(-0.028,-0.001,+0.029) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14422 cmd=(-0.038,+0.001,+0.027) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14425 cmd=(-0.047,+0.000,+0.023) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14428 cmd=(-0.060,-0.003,+0.019) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14431 cmd=(-0.070,-0.002,+0.017) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14434 cmd=(-0.070,-0.004,+0.014) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14437 cmd=(-0.066,-0.002,+0.013) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14440 cmd=(-0.059,+0.001,+0.013) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14443 cmd=(-0.051,+0.003,+0.014) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14446 cmd=(-0.042,+0.004,+0.014) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14449 cmd=(-0.032,+0.006,+0.014) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14452 cmd=(-0.024,+0.007,+0.014) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14455 cmd=(-0.017,+0.010,+0.014) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14458 cmd=(-0.007,+0.013,+0.012) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14461 cmd=(-0.003,+0.013,+0.009) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14464 cmd=(-0.000,+0.010,+0.008) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14467 cmd=(+0.003,+0.003,+0.005) yaw=LOCAL_HOLD
[EXPERIMENTAL AUTO] ACTIVE frame=14470 cmd=(+0.006,+0.006,+0.004) yaw=LOCAL_HOLD
