time_s,depth_m,depth_ref_m,heave_velocity_m_s,heave_rate_ref_m_s,heave_force_n,heave_disturbance_n,yaw_rad,yaw_ref_rad,yaw_rate_rad_s,yaw_rate_ref_rad_s,yaw_moment_nm,yaw_disturbance_nm,heave_sliding,yaw_sliding
35.59,1.5012789077681958,1.5,0.0033204252900362677,-0.00010338043421329724,-1.9816787173829327,1.9892807531611587,1.0471523804141656,1.0471975511965976,-0.0016181418134563123,-0.00026407490857978475,0.09349772230562256,-0.09547521206640655,-0.003423805724249565,0.0013540669048765276
35.6,1.501312092431036,1.5,0.0033165085077193892,-0.00013003480178228123,-1.9943765241601477,2.0016014554185997,1.047136158957227,1.0471975511965976,-0.0016261491523617633,-0.00025083171434368227,0.09497793765261531,-0.09687806042919295,-0.0034465433095016706,0.001375317438018081
35.61,1.501345237424095,1.5,0.003312491365258102,-0.00015668527177825333,-2.0070140148374636,2.013861609384647,1.0471198591035682,1.0471975511965976,-0.0016338211751551666,-0.00023734084149655581,0.09645085695957356,-0.0982747086291789,-0.003469176637036355,0.0013964803336586108
35.62,1.501378341744382,1.5,0.003308373984717317,-0.00018333103747659736,-2.019590807029689,2.026060844190585,1.0471034841822524,1.0471975511965976,-0.0016411627010557847,-0.00022360846952173557,0.09791640960463026,-0.09966506728135757,-0.0034917050221939146,0.001417554231534049
35.63,1.501411404390142,1.5,0.0033041564911866035,-0.0002099712923025659,-2.0321065201845965,2.0381987908104846,1.0470870374745616,1.0471975511965976,-0.0016481784671243675,-0.00020964068999462955,0.09937452506555462,-0.10104904740325041,-0.0035141277834891695,0.0014385377771297379
35.64,1.501444424360886,1.5,0.003299839012776483,-0.0002366052298555787,-2.0445607755943933,2.0502750820723765,1.0470705222148133,1.0471975511965976,-0.0016548731295874758,-0.00019544350781985085,0.10082513292796481,-0.1024265604205989,-0.0035364442426320617,0.001459429621767625
35.65,1.5014774006574207,1.5,0.003295421680614656,-0.00026323204393352724,-2.056953196407232,2.0622893526693886,1.047053941591157,1.0471975511965976,-0.001661251265150719,-0.00018102284245728137,0.10226816289367596,-0.10379751817304267,-0.0035586537245481833,0.0014802284226934376
35.660000000000004,1.50151033228188,1.5,0.00329090462884213,-0.00028985092855707517,-2.0692834076386397,2.074241239170742,1.0470372987463694,1.0471975511965976,-0.0016673173723002665,-0.0001663845291375059,0.10370354478887356,-0.105161832919754,-0.0035807555573992055,0.0015009328431627607
35.67,1.5015432182377533,1.5,0.00328628799460924,-0.0003164610779939449,-2.0815510361828418,2.086130380032774,1.0470205967786255,1.0471975511965976,-0.0016730758725931908,-0.0001515343200658628,0.10513120857247542,-0.10651941734505184,-0.003602749072603185,0.001521541552527328
35.68,1.5015760575299173,1.5,0.0032815719180715954,-0.0003430616867832052,-2.0937557108241025,2.0979564156098967,1.0470038387422633,1.0471975511965976,-0.0016785311119357409,-0.0001364778856152657,0.10655108434440155,-0.10787018456399873,-0.0036246336048548007,0.0015420532263204752
